Date,Open,High,Low,Close
2024-12-16,1.04977,1.05239,1.04747,1.05099
2024-12-17,1.05096,1.05338,1.04792,1.04936
2024-12-18,1.04935,1.05126,1.03439,1.03515
2024-12-19,1.03517,1.04222,1.03477,1.03653
2024-12-20,1.03655,1.04472,1.03432,1.04289
2024-12-23,1.04362,1.04456,1.03842,1.04055
2024-12-24,1.04061,1.04099,1.03836,1.03976
2024-12-26,1.04026,1.04299,1.03906,1.04239
2024-12-27,1.04236,1.04439,1.04052,1.04257
2024-12-30,1.04325,1.04583,1.03718,1.04055
2024-12-31,1.04055,1.04245,1.03444,1.03535
2025-01-02,1.03563,1.03751,1.0225,1.02661
2025-01-03,1.02655,1.03076,1.02649,1.03062
2025-01-06,1.03011,1.04363,1.02957,1.039
2025-01-07,1.03899,1.04345,1.03399,1.03426
2025-01-08,1.03426,1.03575,1.02734,1.03185
2025-01-09,1.03185,1.03216,1.02842,1.03015
2025-01-10,1.03012,1.03119,1.02153,1.02445
2025-01-13,1.02467,1.0273,1.01781,1.02597
2025-01-14,1.02636,1.03085,1.02388,1.0307
2025-01-15,1.03061,1.03526,1.02594,1.02934
2025-01-16,1.02932,1.03152,1.02615,1.03019
2025-01-17,1.0302,1.03301,1.02655,1.02756
2025-01-20,1.02772,1.04323,1.02666,1.04144
2025-01-21,1.04141,1.04354,1.03426,1.04277
2025-01-22,1.04273,1.04566,1.03931,1.04097
2025-01-23,1.04087,1.04376,1.03729,1.04173
2025-01-24,1.04162,1.05216,1.04118,1.04953
2025-01-27,1.04854,1.05328,1.04542,1.04891
2025-01-28,1.04891,1.04893,1.04141,1.04291
2025-01-29,1.04292,1.04438,1.03827,1.04215
2025-01-30,1.04217,1.04668,1.03864,1.03883
2025-01-31,1.03879,1.04339,1.0361,1.03745
2025-02-03,1.02536,1.035,1.02125,1.03432
2025-02-04,1.03428,1.03877,1.02726,1.03786
2025-02-05,1.03791,1.04421,1.03699,1.04041
2025-02-06,1.0404,1.04056,1.03528,1.03837
2025-02-07,1.03837,1.04108,1.0306,1.03279
2025-02-10,1.02954,1.03365,1.02892,1.03064
2025-02-11,1.03064,1.03802,1.02924,1.0362
2025-02-12,1.03617,1.043,1.03177,1.03844
2025-02-13,1.03843,1.04691,1.03746,1.04672
2025-02-14,1.04668,1.05142,1.04475,1.0492
2025-02-17,1.04884,1.05065,1.04674,1.04809
2025-02-18,1.0481,1.04864,1.04354,1.04521
2025-02-19,1.04519,1.04615,1.0401,1.0425
2025-02-20,1.04252,1.05036,1.0419,1.0498
2025-02-21,1.04977,1.05055,1.04497,1.04608
2025-02-24,1.04754,1.05283,1.04532,1.04694
2025-02-25,1.04685,1.05193,1.04566,1.05141
2025-02-26,1.05143,1.05273,1.04751,1.04876
2025-02-27,1.04879,1.04927,1.03894,1.03954
2025-02-28,1.03925,1.042,1.03602,1.03736
2025-03-03,1.04032,1.05037,1.03889,1.04881
2025-03-04,1.04879,1.06275,1.04715,1.06203
2025-03-05,1.06203,1.07964,1.06024,1.07908
2025-03-06,1.07914,1.08533,1.0766,1.07918
2025-03-07,1.07915,1.08883,1.07815,1.08475
2025-03-10,1.08496,1.08743,1.08057,1.08351
2025-03-11,1.0836,1.09473,1.08359,1.09158
2025-03-12,1.09155,1.09301,1.0876,1.08893
2025-03-13,1.08893,1.08973,1.08232,1.08526
2025-03-14,1.08527,1.09116,1.08311,1.08785
2025-03-17,1.08821,1.09299,1.08688,1.09214
2025-03-18,1.09215,1.09545,1.08927,1.09418
2025-03-19,1.0943,1.09452,1.08608,1.09087
2025-03-20,1.09086,1.09174,1.0815,1.08573
2025-03-21,1.08575,1.08613,1.07982,1.08171
2025-03-24,1.08201,1.08584,1.07822,1.08025
2025-03-25,1.08026,1.08301,1.07773,1.07889
2025-03-26,1.07885,1.08028,1.07336,1.07375
2025-03-27,1.07372,1.08205,1.07358,1.07964
2025-03-28,1.07964,1.08448,1.0765,1.08309
2025-03-31,1.08164,1.08492,1.07843,1.08199
2025-04-01,1.08198,1.08301,1.07785,1.07941
2025-04-02,1.07944,1.09234,1.07814,1.0828
2025-04-03,1.08281,1.1143,1.08061,1.10519
2025-04-04,1.10505,1.11077,1.09262,1.0943
2025-04-07,1.09188,1.10499,1.09018,1.09132
2025-04-08,1.09133,1.09917,1.08898,1.09585
2025-04-09,1.09588,1.10948,1.09143,1.0951
2025-04-10,1.0951,1.12414,1.09433,1.11948
2025-04-11,1.11946,1.14732,1.11945,1.1341
2025-04-14,1.13208,1.14247,1.12969,1.13552
2025-04-15,1.13538,1.1378,1.12655,1.12828
2025-04-16,1.12835,1.14128,1.12832,1.13973
2025-04-17,1.13979,1.14094,1.1337,1.13693
2025-04-21,1.14254,1.15733,1.13964,1.15105
2025-04-22,1.15108,1.15471,1.13635,1.13635
2025-04-23,1.13624,1.144,1.13085,1.13243
2025-04-24,1.13245,1.1398,1.1322,1.13879
2025-04-25,1.13876,1.13911,1.13162,1.13595
2025-04-28,1.13609,1.14255,1.13299,1.14208
2025-04-29,1.14208,1.14221,1.13704,1.13867
2025-04-30,1.13879,1.13993,1.13183,1.1328
2025-05-01,1.13281,1.13412,1.12661,1.1288
2025-05-02,1.12896,1.13806,1.12746,1.1305
2025-05-05,1.13044,1.13647,1.12974,1.13179
2025-05-06,1.13175,1.13811,1.12802,1.1373
2025-05-07,1.13742,1.13779,1.12923,1.13135
2025-05-08,1.13123,1.13364,1.12122,1.12277
2025-05-09,1.12279,1.12929,1.11968,1.12573
2025-05-12,1.12168,1.12429,1.10656,1.10905
2025-05-13,1.10894,1.11948,1.1089,1.11869
2025-05-14,1.11869,1.12659,1.11652,1.11773
2025-05-15,1.11775,1.12281,1.11706,1.1189
2025-05-16,1.11902,1.12196,1.11313,1.11494
2025-05-19,1.11781,1.12883,1.11733,1.12435
2025-05-20,1.12427,1.12858,1.12184,1.12832
2025-05-21,1.12831,1.13628,1.12806,1.13297
2025-05-22,1.13299,1.13447,1.12561,1.12811
2025-05-23,1.12814,1.13739,1.12792,1.13637
2025-05-26,1.13678,1.14188,1.13629,1.13861
2025-05-27,1.1386,1.14072,1.13236,1.13326
2025-05-28,1.13325,1.13451,1.12841,1.1296
2025-05-29,1.1296,1.13846,1.12106,1.13699
2025-05-30,1.13699,1.13899,1.13141,1.13567
2025-06-02,1.13512,1.14498,1.13486,1.14407
2025-06-03,1.14401,1.14548,1.13643,1.13771
2025-06-04,1.13761,1.14346,1.13572,1.14167
2025-06-05,1.14177,1.14949,1.14053,1.14446
2025-06-06,1.14441,1.14574,1.13719,1.13964
2025-06-09,1.13947,1.14394,1.13869,1.14219
2025-06-10,1.14221,1.14479,1.13735,1.14252
2025-06-11,1.14257,1.14994,1.14056,1.14884
2025-06-12,1.14886,1.16298,1.14886,1.1589
2025-06-13,1.1589,1.1614,1.14895,1.15501
2025-06-16,1.1534,1.16144,1.15239,1.15636
2025-06-17,1.15636,1.15794,1.14751,1.14822
2025-06-18,1.14819,1.15302,1.14614,1.14828
2025-06-19,1.14829,1.15,1.14468,1.14955
2025-06-20,1.14945,1.15439,1.14919,1.15162
2025-06-23,1.14752,1.15817,1.1454,1.1578
2025-06-24,1.15781,1.1641,1.15748,1.161
2025-06-25,1.16087,1.16652,1.15905,1.16566
2025-06-26,1.16566,1.17439,1.16563,1.16989
2025-06-27,1.16989,1.17535,1.16812,1.17068
2025-06-30,1.1729,1.17884,1.1708,1.17817
2025-07-01,1.17834,1.18297,1.17615,1.18042
2025-07-02,1.18037,1.18099,1.17473,1.17961
2025-07-03,1.17958,1.18102,1.17187,1.17575
2025-07-04,1.17578,1.17877,1.1754,1.17751
2025-07-07,1.17799,1.17904,1.16872,1.17092
2025-07-08,1.17094,1.17653,1.16835,1.17234
2025-07-09,1.17232,1.17294,1.16901,1.1723
2025-07-10,1.1723,1.17495,1.16632,1.17035
2025-07-11,1.17034,1.17139,1.16649,1.16883
2025-07-14,1.16684,1.16978,1.16546,1.16642
2025-07-15,1.16643,1.16928,1.15931,1.16006
2025-07-16,1.16006,1.1721,1.15627,1.16357
2025-07-17,1.16353,1.16426,1.15608,1.15984
2025-07-18,1.15986,1.16717,1.15986,1.16224
2025-07-21,1.16349,1.17168,1.16149,1.16937
2025-07-22,1.1693,1.17606,1.16791,1.17493
2025-07-23,1.17509,1.17752,1.17112,1.17701
2025-07-24,1.17706,1.17887,1.17311,1.17472
2025-07-25,1.17476,1.1761,1.17044,1.17439
2025-07-28,1.17614,1.17703,1.15855,1.15905
2025-07-29,1.15899,1.15993,1.15194,1.15486
2025-07-30,1.15481,1.15723,1.14012,1.14085
2025-07-31,1.14085,1.14608,1.14063,1.14176
2025-08-01,1.14171,1.15883,1.13917,1.15693
2025-08-04,1.15917,1.15959,1.15503,1.15697
2025-08-05,1.15697,1.15879,1.15281,1.15745
2025-08-06,1.15748,1.16686,1.15649,1.16583
2025-08-07,1.16583,1.16984,1.16113,1.16654
2025-08-08,1.16659,1.16791,1.16295,1.16427
2025-08-11,1.16465,1.16756,1.15904,1.16159
2025-08-12,1.16172,1.16971,1.15989,1.16744
2025-08-13,1.16748,1.17303,1.16708,1.17057
2025-08-14,1.17057,1.17152,1.16311,1.16513
2025-08-15,1.16511,1.17152,1.16464,1.17011
2025-08-18,1.17142,1.17144,1.16562,1.16622
2025-08-19,1.16618,1.1693,1.16402,1.16475
2025-08-20,1.16474,1.16735,1.16223,1.16525
2025-08-21,1.16528,1.16625,1.16015,1.1608
2025-08-22,1.1607,1.17428,1.15832,1.17202
2025-08-25,1.17228,1.17236,1.16032,1.16201
2025-08-26,1.16196,1.16653,1.16028,1.16453
2025-08-27,1.1644,1.1648,1.15747,1.16374
2025-08-28,1.16381,1.16975,1.16296,1.16793
2025-08-29,1.16794,1.17086,1.16518,1.16985
2025-09-01,1.16896,1.17361,1.16869,1.17094
2025-09-02,1.17088,1.17183,1.16131,1.16416
2025-09-03,1.16414,1.1682,1.16086,1.16612
2025-09-04,1.16613,1.16692,1.16304,1.16494
2025-09-05,1.16499,1.17596,1.16487,1.17181
2025-09-08,1.17192,1.17655,1.17039,1.17615
2025-09-09,1.17626,1.17802,1.1704,1.17114
2025-09-10,1.17112,1.17302,1.16842,1.17001
2025-09-11,1.17008,1.17457,1.1665,1.17349
2025-09-12,1.17356,1.17479,1.17017,1.17363
2025-09-15,1.17307,1.17746,1.17164,1.17659
2025-09-16,1.17656,1.18782,1.17576,1.18642
2025-09-17,1.18653,1.19185,1.18082,1.18155
2025-09-18,1.18165,1.18484,1.17505,1.17866
2025-09-19,1.17874,1.17923,1.17289,1.17478
2025-09-22,1.17466,1.18037,1.17265,1.17997
2025-09-23,1.1802,1.18201,1.17805,1.18145
2025-09-24,1.18168,1.18191,1.17286,1.17395
2025-09-25,1.17395,1.1754,1.16462,1.16613
2025-09-26,1.16627,1.1706,1.16582,1.17058
2025-09-29,1.17046,1.17541,1.17025,1.17269
2025-09-30,1.17265,1.17616,1.17125,1.17368
2025-10-01,1.17359,1.17789,1.17158,1.17328
2025-10-02,1.17334,1.17583,1.16835,1.17181
2025-10-03,1.17181,1.17588,1.17156,1.17413
2025-10-06,1.17275,1.1731,1.16522,1.17097
2025-10-07,1.17127,1.1715,1.16479,1.16576
2025-10-08,1.16576,1.16612,1.15988,1.16291
2025-10-09,1.163,1.16484,1.1543,1.15653
2025-10-10,1.15646,1.163,1.15573,1.16128
2025-10-13,1.16143,1.16299,1.15578,1.1572
2025-10-14,1.15714,1.16149,1.15433,1.16082
2025-10-15,1.16081,1.16479,1.16021,1.1644
2025-10-16,1.16459,1.16941,1.16432,1.16885
2025-10-17,1.1689,1.17281,1.16571,1.16708
2025-10-20,1.16581,1.16757,1.16391,1.16449
2025-10-21,1.16446,1.16553,1.15981,1.1605
2025-10-22,1.16049,1.16225,1.15775,1.16128
2025-10-23,1.16124,1.16202,1.15858,1.16178
2025-10-24,1.16186,1.16476,1.16013,1.16318
2025-10-27,1.16286,1.16522,1.16179,1.165
2025-10-28,1.16503,1.16687,1.16258,1.16508
2025-10-29,1.16506,1.16654,1.15781,1.16038
